inst;dist_min;dist_max;dist_std;dist_mean;dist_median;tempoCpu_min;tempoCpu_max;tempoCpu_std;tempoCpu_mean;tempoCpu_median;numRotasEv_min;numRotasEv_max;numRotasEv_std;numRotasEv_mean;numRotasEv_median
C109_21x;1402.793;1435.38;11.192;1423.746;1424.486;24.225;40.171;6.06;31.831;31.811;4151;5978;634.587;4884.1;4958.5
C201_21x;1205.566;1258.178;14.835;1224.598;1219.608;12.887;16.133;1.144;14.581;14.467;2846;5229;691.564;4190.6;4246.5
C202_21x;1187.21;1220.986;12.191;1204.649;1202.076;15.014;20.401;1.967;17.849;17.624;5071;6868;694.349;5870.8;6096.5
C203_21x;1175.247;1188.886;5.785;1181.601;1178.758;15.399;27.699;3.403;19.184;18.532;5818;8987;930.052;7149.9;7027.0
C204_21x;1141.707;1178.375;10.755;1155.995;1153.458;15.235;22.262;2.192;18.572;18.246;6081;9221;928.835;7092.4;6838.0
C205_21x;1197.471;1216.3;5.353;1206.974;1206.478;14.906;22.917;2.75;18.784;18.484;4945;7782;1103.178;6349.2;6289.0
C206_21x;1178.043;1203.592;9.161;1190.532;1190.434;14.619;22.045;2.698;18.276;18.368;4774;8050;1024.512;6333.5;6091.5
C207_21x;1167.124;1185.909;5.456;1173.912;1173.327;16.216;21.765;1.844;18.949;18.964;5844;8211;749.52;6901.7;6787.5
C208_21x;1158.712;1182.849;7.657;1170.618;1168.81;13.601;19.694;2.459;16.991;16.98;4824;8517;1339.788;6930.3;6836.5
avg;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0
R101_21x;1710.585;1994.007;85.86;1751.007;1728.286;4.199;28.567;5.947;16.178;16.168;217;2523;597.155;1736.3;1794.5
R102_21x;1576.291;1610.107;12.485;1593.147;1591.917;12.631;19.798;2.577;16.778;17.218;1867;2906;332.455;2332.1;2346.0
R103_21x;1482.945;1544.351;21.363;1503.899;1498.524;9.73;19.951;2.946;13.43;13.389;1784;4625;885.233;3002.7;2764.5
R104_21x;1423.396;1560.748;39.178;1451.975;1441.177;9.838;12.435;0.932;11.036;11.077;1625;2900;399.842;2379.1;2409.0
R105_21x;1591.575;1620.913;11.71;1605.194;1600.862;8.111;19.434;3.58;13.424;12.996;2021;3437;470.054;2549.0;2461.5
R106_21x;1516.072;1554.187;14.601;1527.925;1519.512;7.009;25.286;5.519;14.205;13.171;1850;4480;947.528;3012.3;2874.0
R107_21x;1441.363;1473.399;11.855;1457.956;1458.651;9.385;30.253;6.204;13.832;11.732;1862;7676;1751.958;3426.3;2766.0
R108_21x;1409.794;1458.962;15.646;1426.165;1424.494;8.165;17.786;3.082;12.699;12.372;2127;3844;597.251;2804.0;2643.0
R109_21x;1474.724;1528.349;20.805;1500.945;1505.514;7.402;17.229;3.066;11.356;11.328;1601;4050;825.259;2790.0;2717.0
R110_21x;1424.367;1603.032;50.403;1474.589;1466.032;4.815;16.508;3.166;9.665;9.029;0;3045;882.696;1887.8;1918.5
R111_21x;1439.13;1565.695;38.525;1470.784;1463.899;3.549;10.876;2.128;8.842;9.419;0;2298;686.321;1506.2;1629.0
R112_21x;1388.526;1417.955;10.834;1402.603;1400.552;4.686;9.843;1.688;8.088;8.618;1289;3750;829.547;2439.6;2452.5
R201_21x;1198.435;1214.497;4.215;1203.221;1202.043;12.224;24.5;4.337;17.698;18.473;3593;8666;1833.839;5881.0;6181.5
R202_21x;1124.878;1158.959;11.09;1137.888;1133.135;9.959;15.651;1.775;12.979;13.35;3315;7190;1046.117;4905.2;4661.5
R203_21x;1045.125;1069.91;8.844;1056.487;1054.78;16.232;50.812;10.306;28.631;25.46;4178;13904;3305.808;8026.7;6717.0
R204_21x;961.992;966.184;1.7;963.612;963.049;9.009;29.081;5.46;15.812;15.764;2955;12828;2762.989;5669.1;5222.5
R205_21x;1104.326;1119.961;5.58;1111.735;1111.422;13.07;35.951;8.572;20.987;15.927;3489;10499;2604.164;5955.2;4646.0
R206_21x;1075.582;1095.027;6.277;1087.321;1089.508;18.003;38.938;7.136;23.786;21.236;4580;12137;2625.427;7140.6;6213.5
R207_21x;1014.158;1029.581;5.502;1021.536;1022.062;15.516;24.366;3.124;18.647;17.704;4034;6486;708.568;5281.9;5311.5
R208_21x;960.967;966.496;2.099;963.729;963.575;14.468;19.17;1.41;17.056;17.13;3568;5681;705.753;4781.6;5074.0
R209_21x;1057.271;1073.016;6.126;1063.878;1062.268;19.438;33.561;4.494;26.112;26.27;5584;6766;376.307;6206.0;6144.0
R210_21x;1035.17;1054.442;6.714;1042.192;1042.882;16.536;34.722;4.868;25.52;25.565;4135;9411;1454.098;6498.1;6211.0
R211_21x;995.077;1008.907;3.825;1003.514;1003.248;14.447;22.108;2.826;16.927;15.977;4618;6930;760.657;5641.2;5466.0
avg;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0
RC101_21x;1834.156;1907.098;23.098;1881.537;1891.892;5.435;17.629;4.067;9.376;8.09;1386;2937;430.034;1942.0;1855.0
RC102_21x;1796.186;1879.448;25.869;1837.176;1841.066;5.292;16.31;4.054;9.359;7.952;1377;3104;613.974;2162.6;1987.5
RC103_21x;1717.623;1759.163;10.791;1737.932;1738.032;8.733;16.356;2.299;12.216;12.006;1800;3960;615.64;3063.4;3077.0
RC104_21x;1641.375;1701.169;20.243;1665.974;1666.498;11.461;22.079;3.049;16.436;16.726;3050;5254;614.399;3790.9;3603.5
RC105_21x;1782.876;1849.749;20.178;1828.121;1829.46;5.105;10.871;2.01;7.313;6.574;950;2416;505.334;1639.4;1451.0
RC106_21x;1735.029;1796.363;22.629;1766.507;1763.626;3.446;11.444;2.682;6.97;6.156;1001;3457;752.889;2183.6;1959.5
RC107_21x;1686.868;1731.211;17.661;1704.654;1697.855;5.377;17.42;3.983;11.563;12.154;1167;4798;1137.827;3184.7;3516.5
RC108_21x;1644.728;1698.521;17.532;1674.664;1674.441;8.077;17.409;3.189;11.98;11.722;2061;4571;823.74;3193.1;2967.0
RC201_21x;1292.684;1296.016;1.044;1293.835;1293.637;13.836;20.849;2.191;17.41;17.8;4331;6792;810.345;5919.3;6258.5
RC202_21x;1190.979;1210.654;6.207;1193.373;1190.979;13.453;23.062;2.819;18.288;18.466;5094;8893;1327.259;7345.4;7458.0
RC203_21x;1072.392;1107.454;10.431;1079.048;1075.166;11.447;24.25;5.563;17.786;18.05;3467;9435;2470.094;6517.8;6591.5
RC204_21x;1016.577;1049.497;10.454;1026.547;1022.288;12.102;43.5;9.596;20.187;17.5;1941;9163;2531.348;4172.3;3196.5
RC205_21x;1177.371;1279.784;32.342;1198.796;1184.406;11.513;30.18;5.691;22.619;23.201;2353;10666;2262.865;6765.6;7295.0
RC206_21x;1163.214;1252.938;27.315;1175.868;1169.352;11.154;20.402;3.177;15.086;14.24;3528;6617;991.701;4713.6;4605.5
RC207_21x;1083.247;1113.42;9.13;1097.031;1100.093;11.554;24.242;4.185;17.314;16.103;3145;9514;2232.836;5517.0;4469.5
RC208_21x;1011.684;1069.14;16.985;1032.911;1032.685;12.205;24.599;4.377;16.481;14.853;3050;4565;553.869;3694.2;3519.5
avg;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0
