inst;dist_min;dist_max;dist_std;dist_mean;dist_median;tempoCpu_min;tempoCpu_max;tempoCpu_std;tempoCpu_mean;tempoCpu_median;numRotasEv_min;numRotasEv_max;numRotasEv_std;numRotasEv_mean;numRotasEv_median;distMip_min;distMip_max;distMip_std;distMip_mean;distMip_median;cpuMip_min;cpuMip_max;cpuMip_std;cpuMip_mean;cpuMip_median;distIg_min;distIg_max;distIg_std;distIg_mean;distIg_median
avg;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
R101_21x;1704.02;1741.928;8.741;1716.018;1714.504;11.788;44.999;6.774;23.954;23.148;3196;7872;1120.911;5431.933;5385.0;1704.02;1745.766;10.073;1717.198;1714.673;0.993;3.03;0.385;1.903;1.892;1715.994;1765.776;12.342;1734.522;1734.306
R102_21x;1572.434;1596.099;5.954;1580.541;1579.974;14.708;33.365;4.53;23.157;23.492;3366;7112;1004.989;5705.767;5719.5;1572.434;1599.759;6.691;1581.808;1582.308;1.103;4.498;0.614;2.304;2.23;1578.195;1642.522;18.513;1601.038;1594.408
R103_21x;1460.496;1681.415;57.323;1496.303;1476.327;10.136;27.833;4.633;20.506;21.376;406;9466;2372.752;6166.267;6477.0;1460.496;1748.134;68.094;1499.965;1476.327;0.09;5.649;1.245;2.974;3.208;1474.493;1751.521;61.121;1529.748;1509.186
R104_21x;1394.707;1477.883;21.205;1418.567;1410.594;11.428;33.278;5.677;22.431;23.13;427;10754;2718.49;6446.533;6868.0;1394.707;1514.457;26.838;1421.968;1410.594;0.428;14.318;2.654;4.015;3.613;1421.279;1529.052;26.152;1451.842;1445.298
R105_21x;1584.763;1676.564;16.437;1599.947;1598.258;12.763;27.982;3.25;18.094;17.266;3274;8072;1028.448;5515.1;5233.5;1584.763;1676.564;16.421;1600.168;1598.258;1.125;2.678;0.352;2.0;2.05;1598.243;1695.079;17.862;1623.623;1620.696
R106_21x;1507.524;1532.826;6.608;1517.848;1517.262;7.809;27.358;4.105;16.854;16.0;1892;9479;1655.063;5415.233;5276.5;1507.524;1532.826;6.652;1518.058;1518.001;0.767;3.693;0.62;2.282;2.291;1533.866;1573.5;11.321;1552.814;1555.337
R107_21x;1427.988;1468.503;11.075;1446.966;1444.593;15.12;43.318;7.408;25.148;23.802;4499;13287;2194.758;7655.333;7423.5;1427.988;1470.38;11.297;1447.722;1444.593;2.123;13.339;2.863;4.658;3.642;1455.433;1517.063;16.371;1478.451;1474.901
R108_21x;1403.278;1452.879;13.324;1422.151;1418.2;11.613;27.827;4.211;19.557;19.796;2413;9994;1755.853;5212.9;5204.0;1403.908;1455.147;14.385;1423.9;1418.564;1.489;15.455;2.547;4.036;3.519;1418.954;1506.38;19.776;1452.128;1448.872
R109_21x;1462.278;1534.254;16.295;1482.143;1479.734;12.93;34.022;5.539;21.554;20.652;2689;10481;2015.3;6494.767;6434.0;1462.278;1534.254;18.026;1483.353;1479.734;1.142;18.406;3.054;3.953;3.326;1486.202;1557.116;21.022;1516.03;1509.653
R110_21x;1403.468;1537.067;30.687;1452.139;1449.349;13.338;53.676;10.006;27.013;25.036;1849;9751;1851.127;5021.433;4807.5;1403.757;1537.067;29.948;1455.085;1453.904;1.655;32.613;8.965;9.654;5.027;1412.813;1556.955;32.561;1477.353;1480.489
R111_21x;1416.305;1640.205;57.112;1460.824;1446.67;5.948;69.511;15.044;25.543;20.742;0;10991;2587.054;4761.133;4663.5;1418.642;1640.205;57.11;1464.811;1448.463;0.009;56.357;12.638;8.595;3.44;1428.075;1640.205;55.68;1486.213;1476.327
R112_21x;1373.198;1413.36;10.239;1386.787;1383.55;8.141;42.951;8.032;20.009;18.476;1019;12900;2372.329;5235.9;5138.5;1373.198;1413.36;10.526;1387.679;1386.328;0.36;18.327;4.341;5.423;4.21;1387.845;1450.937;14.845;1414.835;1415.864
R201_21x;1198.435;1213.705;3.37;1204.429;1204.21;38.402;59.36;6.33;52.039;53.266;13862;21966;2349.514;19159.567;19802.0;1198.435;1213.705;3.306;1204.466;1204.21;7.129;15.029;2.054;10.785;10.7;1198.435;1224.894;4.966;1205.248;1204.314
R202_21x;1121.362;1139.856;4.604;1127.801;1125.87;43.984;89.206;8.892;58.662;57.022;14609;23560;2500.324;17776.9;17196.0;1121.362;1139.856;4.535;1127.906;1125.87;13.747;35.61;5.302;23.739;23.754;1122.759;1147.158;5.889;1129.225;1127.049
R203_21x;1041.996;1056.351;4.614;1046.953;1044.884;68.126;114.829;11.797;84.065;80.886;16264;26023;2254.052;19462.167;19108.0;1041.996;1056.429;4.607;1046.999;1044.884;22.947;46.068;5.479;30.124;29.234;1042.611;1063.484;5.814;1049.476;1047.258
R204_21x;961.425;969.537;1.747;962.821;962.164;56.49;122.857;13.191;70.947;68.32;14307;21698;1752.937;17264.867;16928.5;961.425;969.537;1.747;962.934;962.164;20.53;72.916;11.083;33.198;31.208;961.425;969.537;2.058;964.05;964.106
R205_21x;1103.12;1119.816;4.526;1110.118;1110.916;47.19;92.245;10.628;63.421;61.507;14842;24406;2539.382;18366.833;17724.0;1103.12;1119.816;4.539;1110.205;1110.94;8.758;23.334;3.797;14.934;14.454;1103.12;1128.574;6.244;1112.131;1111.232
R206_21x;1074.749;1096.242;6.749;1082.506;1081.385;59.224;108.484;11.471;77.685;74.682;15867;25874;2251.073;19691.5;19210.0;1074.749;1096.242;6.854;1082.846;1081.385;18.67;42.055;5.068;27.725;26.332;1074.749;1100.513;7.2;1084.222;1082.346
R207_21x;1011.949;1025.361;3.882;1017.156;1015.962;61.455;100.705;9.818;81.638;80.136;14696;25292;2226.005;19127.167;18920.5;1011.949;1025.954;3.992;1017.267;1015.962;20.649;54.138;7.218;35.102;33.452;1011.949;1033.519;5.092;1020.859;1020.746
R208_21x;960.967;966.638;1.717;963.855;963.892;62.006;124.094;11.49;75.541;74.267;15142;20639;1508.558;17059.367;17117.0;960.967;966.799;1.777;963.91;963.892;19.935;67.565;8.825;31.305;32.199;960.967;971.339;2.55;965.12;964.759
R209_21x;1056.139;1070.838;3.259;1059.902;1058.923;66.913;110.284;9.034;82.295;81.752;16534;24667;1618.687;19307.0;19381.5;1056.139;1070.838;3.22;1059.972;1059.162;17.944;30.036;3.303;22.479;21.97;1056.139;1070.838;3.436;1060.427;1059.43
R210_21x;1035.17;1049.64;5.04;1041.204;1042.607;66.152;104.049;8.093;82.884;82.172;15779;25321;1819.983;18892.833;19021.0;1035.17;1049.64;5.054;1041.233;1042.607;19.305;37.869;4.465;29.902;31.179;1035.17;1050.898;5.155;1041.478;1043.682
R211_21x;994.745;1004.374;2.798;999.059;999.301;46.687;86.389;7.745;60.015;58.29;15971;25623;1775.417;18447.7;18315.0;994.745;1004.374;2.766;999.14;999.301;15.024;35.653;4.469;24.334;23.963;994.745;1011.633;3.816;1000.783;999.82
avg;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
RC101_21x;1807.016;1870.494;16.934;1840.111;1836.74;11.804;44.404;8.233;24.385;22.142;2975;8603;1246.415;5033.933;5068.0;1807.016;1872.562;18.658;1844.669;1842.392;1.006;27.295;8.232;9.301;4.974;1850.715;1924.482;19.634;1883.094;1879.747
RC102_21x;1763.122;1815.35;14.285;1787.407;1789.142;14.261;48.692;8.046;27.483;25.273;3024;10497;1552.477;6782.133;6772.5;1763.122;1815.35;14.965;1788.776;1792.368;1.72;26.188;7.529;7.655;4.308;1800.318;1870.794;16.074;1823.121;1821.398
RC103_21x;1699.011;1736.378;10.366;1715.501;1714.064;11.832;37.621;6.851;23.018;22.062;3615;11610;2388.744;7290.633;7012.5;1699.011;1736.378;10.327;1715.881;1714.321;1.384;4.907;0.83;3.008;2.952;1735.489;1792.849;14.555;1758.987;1755.048
RC104_21x;1620.788;1664.817;12.231;1641.625;1643.671;13.322;33.148;5.758;21.079;18.561;4269;10825;2034.199;6981.167;6288.0;1620.788;1668.243;12.957;1642.381;1644.518;1.79;4.676;0.735;2.909;2.856;1680.086;1715.974;10.996;1695.564;1692.432
RC105_21x;1756.614;1841.895;23.631;1803.046;1810.239;11.004;65.861;14.358;30.461;26.89;1661;5841;1177.605;3949.067;4013.5;1756.614;1841.895;22.903;1804.937;1810.239;1.134;49.545;12.913;16.995;13.11;1795.707;1867.899;17.962;1839.174;1837.524
RC106_21x;1716.819;1756.923;9.635;1734.699;1734.534;9.513;40.184;6.725;16.81;15.343;2780;8545;1475.203;4880.467;4801.5;1716.819;1756.923;9.787;1736.453;1736.204;1.435;23.752;5.205;5.364;3.698;1733.121;1811.654;20.468;1770.754;1770.845
RC107_21x;1665.878;1707.076;11.485;1684.981;1686.024;8.261;24.098;3.507;13.658;13.374;2239;6434;1171.121;4337.3;4415.0;1667.381;1707.076;11.577;1685.973;1686.738;0.939;12.596;2.063;2.759;2.325;1702.647;1771.793;17.454;1740.843;1740.576
RC108_21x;1637.338;1670.239;9.293;1657.142;1657.934;8.682;23.494;3.488;13.372;12.724;2531;7954;1344.849;4384.2;4277.0;1639.253;1676.676;9.166;1658.865;1660.232;1.104;4.934;0.896;2.295;2.096;1684.063;1746.668;13.675;1700.815;1697.458
RC201_21x;1289.039;1305.757;3.969;1293.05;1293.379;36.018;63.15;5.572;47.095;47.528;12344;20261;1944.214;16302.2;16692.5;1289.039;1305.757;3.907;1293.196;1293.379;5.106;16.409;2.377;7.969;7.544;1289.039;1305.757;4.082;1293.508;1293.379
RC202_21x;1190.979;1214.535;5.727;1193.586;1190.979;36.232;58.261;5.725;48.82;49.878;12111;19550;1930.259;16507.467;16947.5;1190.979;1214.535;5.718;1193.633;1190.979;10.123;18.807;2.307;14.347;14.42;1190.979;1215.453;5.975;1193.954;1191.058
RC203_21x;1072.392;1081.6;2.3;1075.358;1075.809;34.038;65.199;8.544;46.669;44.421;9835;19347;2407.082;14934.433;14613.0;1072.392;1081.6;2.471;1075.48;1075.809;9.576;27.114;4.043;15.562;14.952;1072.392;1087.05;3.224;1077.231;1077.463
RC204_21x;1002.114;1034.672;7.816;1015.18;1012.337;48.6;136.527;18.221;70.798;64.54;11899;20080;2194.592;15268.633;14781.5;1002.114;1034.672;8.012;1015.709;1012.337;10.35;62.116;10.546;20.353;17.039;1002.693;1034.672;8.081;1020.303;1019.52
RC205_21x;1173.397;1195.726;5.407;1178.339;1177.371;39.521;65.273;6.886;50.709;49.836;13138;20398;2074.147;16027.967;15654.5;1173.397;1195.726;5.395;1178.379;1177.371;5.988;13.252;1.694;9.225;8.894;1173.397;1195.726;5.415;1180.12;1179.928
RC206_21x;1163.214;1171.861;2.693;1164.664;1163.637;41.982;63.818;7.513;51.512;48.371;13599;20378;2357.765;16678.2;15764.5;1163.214;1171.861;2.692;1164.722;1163.637;7.149;13.615;1.955;10.554;10.654;1163.214;1178.159;3.72;1165.404;1163.637
RC207_21x;1084.325;1104.532;4.54;1089.927;1088.295;37.395;68.648;8.376;49.373;44.912;13066;22311;2510.083;16654.733;15433.5;1084.325;1104.532;4.559;1090.119;1089.332;8.444;24.027;3.656;12.907;11.712;1085.415;1126.711;7.941;1092.737;1091.182
RC208_21x;1011.26;1043.191;7.051;1021.952;1021.19;43.86;82.778;8.898;58.476;56.899;12209;18539;1433.959;15142.3;14901.5;1011.26;1043.191;8.029;1022.684;1021.19;10.149;32.417;5.238;15.105;13.856;1015.457;1047.072;8.641;1025.785;1024.383
avg;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
