inst;dist_p_value;dist_effSize;dist_mag;t_p_value;t_effSize;t_mag
R208_21x;0.14667541286341934;0.18833261271575039;0;3.0198593591621506e-11;0.8588975014708022;-3
R209_21x;0.0018542172435844161;0.40279465182755336;2;3.0198593591621506e-11;0.8588975014708022;-3
R210_21x;0.8697700861094058;0.022128010126530706;0;3.0198593591621506e-11;0.8588975014708022;-3
R211_21x;0.000100700329253035;0.5030090794756862;3;3.0198593591621506e-11;0.8588975014708022;-3
Avg;;;;;;
RC101_21x;8.825693994788199e-07;0.6356283057413413;3;2.8715847742981213e-10;0.8149982958400724;-3
RC102_21x;1.2023264598302044e-08;0.7367431901505104;3;1.2056679006359907e-10;0.8321762458694885;-3
RC103_21x;1.8730978430511708e-07;0.673757373375985;3;4.5725704398736436e-09;0.7577384624086856;-3
RC104_21x;3.587857107590285e-05;0.5344622390617886;3;5.265008978704183e-05;0.5229731453399997;-3
RC105_21x;8.663432943179655e-05;0.5077038564249632;3;4.504322112705297e-11;0.8512628570132841;-3
RC106_21x;3.2555395233551265e-07;0.660396745575328;3;1.4109773081080264e-09;0.7825510568956199;-3
RC107_21x;2.27802391175993e-05;0.5477857398269339;3;0.09049036090614401;0.21949602815364946;0
RC108_21x;0.00042175084683031353;0.456170006336715;2;0.31830422747222775;0.12978895577781013;0
RC201_21x;0.5578540649340825;0.07661407138607898;0;3.0198593591621506e-11;0.8588975014708022;-3
RC202_21x;0.8086371278662641;0.03234403171862115;0;3.0198593591621506e-11;0.8588975014708022;-3
RC203_21x;0.12066571982511459;0.20132372350282537;0;3.0198593591621506e-11;0.8588975014708022;-3
RC204_21x;0.0005796727598938736;0.4451822896853235;2;3.0198593591621506e-11;0.8588975014708022;-3
RC205_21x;2.2730826595223764e-05;0.5478623452804753;3;3.0198593591621506e-11;0.8588975014708022;-3
RC206_21x;0.009419414009962596;0.3361825247328226;2;3.0198593591621506e-11;0.8588975014708022;-3
RC207_21x;0.006459880624895292;0.3525547404535813;2;3.0198593591621506e-11;0.8588975014708022;-3
RC208_21x;0.04924174696893773;0.2548275011805768;1;3.0198593591621506e-11;0.8588975014708022;-3
Avg;;;;;;
