inst;dist_min;dist_max;dist_std;dist_mean;dist_median;tempoCpu_min;tempoCpu_max;tempoCpu_std;tempoCpu_mean;tempoCpu_median;numRotasEv_min;numRotasEv_max;numRotasEv_std;numRotasEv_mean;numRotasEv_median;distMip_min;distMip_max;distMip_std;distMip_mean;distMip_median;cpuMip_min;cpuMip_max;cpuMip_std;cpuMip_mean;cpuMip_median;distIg_min;distIg_max;distIg_std;distIg_mean;distIg_median
C101_C5x;385.491;385.491;0.0;385.491;385.491;0.111;0.123;0.003;0.115;0.115;14;19;1.398;17.2;17.5;385.491;385.491;0.0;385.491;385.491;0.001;0.002;0.0;0.001;0.001;385.491;385.491;0.0;385.491;385.491
C103_C5x;341.334;341.334;0.0;341.334;341.334;0.108;0.117;0.004;0.112;0.112;3;4;0.516;3.4;3.0;341.334;341.334;0.0;341.334;341.334;0.001;0.001;0.0;0.001;0.001;341.334;341.334;0.0;341.334;341.334
C206_C5x;417.307;417.307;0.0;417.307;417.307;0.138;0.147;0.003;0.144;0.146;3;4;0.316;3.9;4.0;417.307;417.307;0.0;417.307;417.307;0.001;0.001;0.0;0.001;0.001;417.307;417.307;0.0;417.307;417.307
C208_C5x;381.913;381.913;0.0;381.913;381.913;0.175;0.189;0.004;0.183;0.183;1;1;0.0;1.0;1.0;381.913;381.913;0.0;381.913;381.913;0.001;0.001;0.0;0.001;0.001;381.913;381.913;0.0;381.913;381.913
R104_C5x;317.021;317.021;0.0;317.021;317.021;0.159;0.167;0.003;0.164;0.164;4;5;0.422;4.2;4.0;317.021;317.021;0.0;317.021;317.021;0.001;0.001;0.0;0.001;0.001;317.021;317.021;0.0;317.021;317.021
R105_C5x;453.739;453.739;0.0;453.739;453.739;0.213;0.23;0.005;0.223;0.226;11;14;0.994;12.9;13.0;453.739;453.739;0.0;453.739;453.739;0.001;0.002;0.0;0.002;0.002;453.739;453.739;0.0;453.739;453.739
R202_C5x;347.817;348.451;0.2;347.88;347.817;0.141;0.157;0.005;0.144;0.144;2;2;0.0;2.0;2.0;347.817;348.451;0.2;347.88;347.817;0.001;0.001;0.0;0.001;0.001;347.817;348.451;0.2;347.88;347.817
R203_C5x;371.306;371.306;0.0;371.306;371.306;0.129;0.137;0.003;0.134;0.135;1;1;0.0;1.0;1.0;371.306;371.306;0.0;371.306;371.306;0.001;0.001;0.0;0.001;0.001;371.306;371.306;0.0;371.306;371.306
RC105_C5x;432.635;432.635;0.0;432.635;432.635;0.114;0.124;0.004;0.119;0.121;31;36;1.647;34.4;35.0;432.635;432.635;0.0;432.635;432.635;0.002;0.002;0.0;0.002;0.002;432.635;432.635;0.0;432.635;432.635
RC108_C5x;460.892;524.268;30.217;480.586;460.892;0.116;0.136;0.007;0.123;0.118;2;12;3.629;4.5;2.0;460.892;524.268;30.217;480.586;460.892;0.001;0.001;0.0;0.001;0.001;460.892;524.268;30.217;480.586;460.892
