inst;dist_min;dist_max;dist_std;dist_mean;dist_median;tempoCpu_min;tempoCpu_max;tempoCpu_std;tempoCpu_mean;tempoCpu_median;numRotasEv_min;numRotasEv_max;numRotasEv_std;numRotasEv_mean;numRotasEv_median
C101_C5x;385.491;385.491;0.0;385.491;385.491;0.079;0.088;0.002;0.085;0.085;5;5;0.0;5.0;5.0
C103_C5x;341.334;341.334;0.0;341.334;341.334;0.076;0.087;0.003;0.082;0.084;2;4;0.858;3.233;3.5
C206_C5x;417.307;417.307;0.0;417.307;417.307;0.083;0.097;0.003;0.091;0.091;1;3;0.718;1.367;1.0
C208_C5x;381.913;381.913;0.0;381.913;381.913;0.114;0.13;0.003;0.124;0.124;1;1;0.0;1.0;1.0
R104_C5x;317.021;317.021;0.0;317.021;317.021;0.123;0.142;0.004;0.135;0.136;4;4;0.0;4.0;4.0
R105_C5x;453.739;453.739;0.0;453.739;453.739;0.179;0.19;0.002;0.184;0.184;5;12;2.025;9.033;9.0
R202_C5x;347.817;348.451;0.193;347.88;347.817;0.088;0.102;0.004;0.096;0.096;2;2;0.0;2.0;2.0
R203_C5x;371.306;371.306;0.0;371.306;371.306;0.09;0.094;0.001;0.092;0.092;1;1;0.0;1.0;1.0
RC105_C5x;432.635;432.635;0.0;432.635;432.635;0.108;0.122;0.003;0.116;0.116;32;32;0.0;32.0;32.0
RC108_C5x;460.892;572.899;27.199;499.311;497.462;0.089;0.111;0.007;0.098;0.094;2;6;1.484;3.067;2.0
RC204_C5x;334.9;334.9;0.0;334.9;334.9;0.065;0.073;0.002;0.07;0.071;1;3;0.928;1.633;1.0
RC208_C5x;327.295;327.295;0.0;327.295;327.295;0.127;0.139;0.003;0.131;0.132;51;66;4.238;58.2;58.0
avg;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0
C101_C10x;539.726;539.726;0.0;539.726;539.726;0.492;0.678;0.043;0.582;0.581;730;938;52.527;839.7;842.0
C104_C10x;484.319;484.319;0.0;484.319;484.319;0.437;0.638;0.047;0.509;0.496;807;1697;264.247;1046.267;957.5
C202_C10x;425.532;434.264;4.351;430.771;434.264;0.368;0.42;0.013;0.396;0.396;636;913;82.666;751.8;729.5
C205_C10x;416.106;416.106;0.0;416.106;416.106;0.443;0.585;0.033;0.483;0.474;709;848;38.065;774.133;771.5
R102_C10x;505.498;505.498;0.0;505.498;505.498;0.365;0.543;0.032;0.442;0.438;74;216;28.462;157.833;158.0
R103_C10x;436.075;436.075;0.0;436.075;436.075;0.393;0.441;0.011;0.423;0.423;433;605;37.702;491.5;478.5
R201_C10x;460.712;466.029;0.971;465.852;466.029;0.553;0.681;0.031;0.619;0.624;1329;1852;122.435;1618.533;1627.0
R203_C10x;436.752;448.231;2.011;447.06;447.105;0.656;0.929;0.077;0.755;0.715;9;29;5.14;15.3;13.0
RC102_C10x;618.745;625.33;2.009;624.672;625.33;0.456;0.544;0.023;0.498;0.498;250;315;18.072;275.2;273.5
RC108_C10x;559.883;560.386;0.092;559.9;559.883;0.32;0.37;0.009;0.332;0.33;96;192;20.314;120.9;115.0
RC201_C10x;495.536;495.866;0.114;495.822;495.866;0.815;1.039;0.059;0.902;0.898;1490;1968;124.928;1674.933;1652.5
RC205_C10x;576.165;576.842;0.124;576.819;576.842;0.678;0.914;0.053;0.783;0.779;660;1182;123.116;979.533;1016.5
avg;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0
C103_C15x;579.335;585.876;2.69;582.906;581.444;1.215;1.897;0.148;1.509;1.508;3407;5492;467.23;4439.067;4376.0
C106_C15x;504.999;520.643;3.136;517.832;516.603;0.913;1.826;0.184;1.29;1.322;1941;3746;454.704;3047.733;3247.5
C202_C15x;555.418;590.319;11.298;562.15;555.418;0.567;1.687;0.286;0.956;0.885;915;3421;693.9;1849.7;1572.5
C208_C15x;550.016;606.703;18.793;560.871;556.576;0.383;2.251;0.522;1.136;0.974;397;3966;1088.005;2071.6;1726.0
R102_C15x;703.921;731.917;6.508;712.397;710.026;0.443;0.706;0.07;0.56;0.548;334;779;130.685;554.533;530.5
R105_C15x;607.961;617.675;2.464;610.996;611.333;0.108;0.17;0.015;0.134;0.131;117;504;93.83;315.7;313.0
R202_C15x;593.686;603.984;1.874;594.064;593.715;0.329;0.487;0.039;0.394;0.387;482;942;110.726;720.733;737.0
R209_C15x;475.099;539.615;21.198;486.83;476.607;0.305;0.873;0.15;0.542;0.487;54;1323;317.054;651.833;642.5
RC103_C15x;616.323;620.714;1.336;618.356;618.389;0.513;1.149;0.171;0.747;0.79;661;2261;484.907;1379.2;1597.5
RC108_C15x;609.276;616.232;2.631;615.01;616.232;0.48;0.988;0.105;0.787;0.806;927;2122;252.554;1527.467;1493.5
