inst;dist_min;dist_max;dist_std;dist_mean;dist_median;tempoCpu_min;tempoCpu_max;tempoCpu_std;tempoCpu_mean;tempoCpu_median;numRotasEv_min;numRotasEv_max;numRotasEv_std;numRotasEv_mean;numRotasEv_median
RC202_C15x;553.534;603.606;9.142;555.203;553.534;0.402;2.283;0.39;1.057;0.97;524;4781;1051.12;2069.567;1833.5
RC204_C15x;491.397;551.564;11.462;500.634;497.069;0.297;1.128;0.18;0.56;0.562;377;2803;489.77;1126.133;1013.5
avg;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0
C101_21x;1467.241;1540.841;19.832;1510.251;1514.391;10.992;24.666;3.013;17.342;17.218;2488;4815;610.05;3572.5;3546.0
C102_21x;1449.456;1514.796;15.23;1480.324;1479.198;14.385;28.127;3.663;22.48;22.712;3395;6535;766.457;4813.233;4687.5
C103_21x;1398.692;1464.407;21.566;1419.276;1409.408;21.938;30.713;3.036;25.572;24.916;4408;7072;723.128;5717.233;5663.5
C104_21x;1383.547;1438.579;14.459;1413.511;1409.945;22.653;40.211;4.706;31.312;31.01;3707;6859;861.755;5505.167;5550.5
C105_21x;1458.767;1533.789;19.386;1492.889;1496.106;28.819;52.918;6.472;39.968;38.122;2443;4513;589.687;3414.567;3396.5
C106_21x;1428.768;1489.386;15.761;1459.696;1456.712;24.798;38.081;3.26;31.198;31.9;2580;4710;487.528;3602.0;3626.0
C107_21x;1446.309;1511.202;17.632;1480.479;1482.354;27.804;47.667;5.261;34.104;33.355;2739;5118;662.929;3486.333;3253.5
C108_21x;1413.097;1467.677;15.783;1441.63;1437.767;22.699;35.881;3.767;29.485;29.523;3214;5578;706.996;4394.833;4523.5
C109_21x;1402.793;1448.974;10.745;1427.166;1426.328;24.225;40.171;4.701;30.831;29.86;3564;5978;694.398;4733.933;4814.5
C201_21x;1204.005;1258.178;12.344;1223.847;1220.402;11.715;17.081;1.484;14.501;14.214;2846;5849;766.944;4385.9;4196.0
C202_21x;1183.277;1236.57;14.719;1204.323;1199.832;14.648;21.669;1.82;18.093;17.898;4568;7584;826.672;5975.233;6084.0
C203_21x;1170.37;1213.893;10.22;1187.094;1186.534;14.785;27.699;2.626;18.86;18.602;4716;8987;1052.7;6630.967;6618.5
C204_21x;1141.707;1184.91;10.514;1159.27;1157.878;12.33;22.262;2.369;18.15;18.01;4112;9221;1190.737;6870.133;6907.0
C205_21x;1197.471;1220.778;6.114;1206.533;1204.99;14.145;22.917;2.484;18.143;18.266;4289;7782;901.056;6120.133;6019.5
C206_21x;1177.145;1203.592;8.19;1187.415;1184.294;14.386;26.992;3.306;18.75;18.576;4011;8678;1236.122;6499.533;6269.5
C207_21x;1159.493;1185.909;6.37;1172.756;1171.833;16.216;26.202;2.325;19.333;19.418;5400;10241;1033.467;6801.733;6561.0
C208_21x;1157.704;1193.652;9.122;1171.242;1168.249;11.646;20.47;2.202;16.827;16.739;4557;9351;1191.558;6681.433;6424.0
avg;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0
R101_21x;1710.585;1994.007;52.492;1734.236;1724.06;4.199;28.567;4.682;16.059;16.396;217;2627;472.032;1917.233;1985.5
R102_21x;1575.254;1625.144;13.659;1590.058;1584.305;7.027;23.623;3.361;16.873;16.709;1501;3316;458.698;2512.967;2406.5
R103_21x;1468.552;1557.764;21.646;1504.205;1503.806;9.73;22.386;3.205;14.593;13.752;1784;5036;879.907;3012.667;2687.5
R104_21x;1406.886;1574.913;37.109;1443.732;1435.698;9.064;15.229;1.341;11.132;11.042;1287;3704;557.436;2529.733;2497.0
R105_21x;1591.575;1663.183;16.05;1607.067;1601.412;8.111;19.434;2.866;12.894;12.428;1391;3437;493.248;2289.3;2174.0
R106_21x;1509.724;1558.983;11.54;1529.334;1528.58;7.009;25.286;3.9;14.975;14.49;1850;4480;665.964;3224.667;3278.0
R107_21x;1436.013;1478.576;11.531;1456.402;1454.14;9.005;30.253;3.894;13.303;12.85;1768;7676;1184.6;3416.133;3497.5
R108_21x;1409.794;1499.658;18.064;1431.089;1425.427;6.086;17.786;2.837;11.413;10.732;1476;3844;662.084;2510.3;2475.5
R109_21x;1469.608;1531.081;17.374;1497.278;1493.384;7.115;17.451;2.828;10.991;10.933;1257;4398;848.36;2817.8;2738.0
R110_21x;1424.068;1633.184;62.992;1479.511;1453.816;3.891;16.508;2.757;8.403;8.296;0;3045;887.787;1526.867;1588.0
R111_21x;1419.864;1678.165;64.441;1484.634;1463.759;3.549;14.507;2.274;8.751;8.973;0;2521;704.301;1401.4;1563.0
R112_21x;1373.259;1417.955;10.865;1398.301;1396.299;4.686;16.126;2.384;9.286;9.087;1289;4100;735.571;2579.933;2568.0
R201_21x;1198.435;1233.332;6.984;1204.171;1202.043;8.404;24.5;4.315;17.051;18.236;2716;8666;1726.201;5800.5;5867.5
R202_21x;1124.76;1175.3;11.779;1136.43;1131.694;9.491;23.28;3.928;14.259;13.352;3315;10014;1818.036;5512.733;4737.0
R203_21x;1042.742;1070.782;8.273;1054.75;1055.098;16.232;50.812;8.37;26.979;24.846;4178;15351;2789.018;7426.033;6711.5
R204_21x;961.425;967.906;1.892;963.647;962.164;9.009;29.864;4.895;16.777;15.98;2955;13017;2383.24;5724.067;5161.0
R205_21x;1103.12;1122.667;6.001;1110.662;1110.9;11.827;35.951;7.441;19.696;15.971;3478;10499;2242.702;5514.567;4363.0
R206_21x;1074.749;1097.521;6.457;1087.981;1090.332;14.528;38.938;6.641;21.142;18.226;3845;12359;2389.657;6192.033;5231.5
R207_21x;1013.756;1029.581;4.869;1020.633;1019.454;11.456;35.263;4.614;19.882;19.576;3651;13836;2068.934;6107.733;5794.0
R208_21x;960.967;983.284;4.083;963.93;963.558;14.468;33.729;3.256;17.79;17.179;2815;12541;1575.794;4986.933;4864.5
R209_21x;1056.235;1077.68;5.991;1064.535;1063.53;18.172;38.949;5.036;24.819;23.796;4216;9338;967.758;5991.167;5966.5
R210_21x;1035.17;1064.186;7.064;1042.354;1041.601;16.536;50.742;7.22;25.915;24.614;4135;15183;2043.013;6674.267;6265.5
R211_21x;995.077;1009.807;3.355;1002.756;1002.232;12.923;22.108;2.218;16.017;15.24;4212;7355;770.986;5697.367;5613.0
avg;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0
RC101_21x;1826.642;1917.709;25.547;1875.979;1876.196;4.404;17.629;3.753;9.533;8.271;973;3088;491.43;1918.9;1889.0
RC102_21x;1791.845;1913.257;30.292;1832.386;1828.131;3.737;21.524;4.559;10.62;10.606;943;3787;715.188;2225.467;2089.0
RC103_21x;1707.199;1783.4;19.281;1741.518;1739.932;7.741;19.155;3.117;12.206;12.006;1800;4272;576.706;2985.1;2870.0
RC104_21x;1623.939;1701.169;19.285;1663.02;1662.465;8.994;22.079;2.966;15.401;14.988;2323;5444;752.082;3745.3;3616.0
RC105_21x;1771.721;1869.969;23.424;1828.778;1834.986;3.97;14.176;2.382;7.376;6.83;950;3019;468.891;1672.6;1551.0
RC106_21x;1731.386;1796.363;20.592;1762.725;1757.602;3.446;12.999;2.834;7.217;6.156;1001;3607;733.201;2194.0;1959.5
RC107_21x;1669.755;1745.403;18.392;1704.353;1700.226;4.576;18.299;3.772;11.557;12.132;959;5050;1075.826;3297.033;3430.5
RC108_21x;1644.728;1705.445;16.167;1671.663;1671.492;7.338;18.263;2.886;12.212;11.66;1676;5197;907.833;3382.233;3397.5
RC201_21x;1289.19;1297.212;1.762;1293.497;1293.252;11.247;25.266;2.813;17.79;17.752;3402;7491;941.078;5878.833;5916.5
RC202_21x;1190.979;1210.654;5.236;1193.582;1190.979;11.306;23.062;3.02;18.812;19.318;3671;9311;1523.614;7548.4;8099.5
RC203_21x;1072.392;1107.454;9.446;1080.12;1076.646;10.173;24.25;4.672;16.026;14.355;3238;9435;2135.138;5604.6;4621.0
RC204_21x;1009.281;1049.497;7.855;1022.339;1021.6;12.102;43.5;8.261;20.338;18.505;1845;9455;2266.296;4152.333;3501.5
RC205_21x;1173.697;1279.784;23.935;1194.565;1189.122;11.513;37.803;5.364;22.205;21.994;2353;10986;2016.318;6493.967;6289.5
RC206_21x;1163.214;1252.938;22.067;1173.316;1166.168;11.044;23.854;3.706;15.761;14.546;3525;9378;1512.775;5171.333;4763.0
RC207_21x;1083.247;1113.658;8.978;1096.273;1096.602;9.17;30.489;5.509;18.217;16.279;2490;10767;2643.238;6024.5;4873.5
RC208_21x;1011.684;1079.136;16.571;1030.367;1025.472;11.294;36.123;5.897;17.819;16.109;2491;11199;1914.556;4356.0;3956.0
avg;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0
